Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
145,12682,65,2,1,0,12,0,0,0,65,2,4.4081,32.575
166,12767,53,2,1,0,28,0,10,0,53,2,40.2237,-74.7641
166,12800,56,2,0,0,23,0,0,0,56,2,18.3599,-66.0096
73,12849,57,2,1,0,26,0,3,0,57,2,53.2667,-7.5
159,12860,62,2,0,0,35,0,0,0,62,2,39.1064,39.5472
166,12906,49,0,1,0,27,0,4,0,49,0,44.1565,-87.5824
130,12912,34,0,1,0,34,0,0,0,32,0,55.8667,72.2
69,12964,163,3,2,0,92,1,0,0,163,3,23.5247,80.8372
166,13751,126,4,4,0,3,0,36,0,126,4,33.9209,-118.2356
166,13753,63,2,2,0,9,0,22,0,63,2,42.0771,-87.7282
166,13812,53,2,2,0,27,0,10,0,53,2,38.9395,-77.2842
166,13829,86,2,2,0,38,0,10,0,86,2,42.132,-83.2374
33,13900,112,4,2,0,44,0,4,0,112,4,30.1697,121.2665
33,13928,155,3,3,0,155,2,2,0,151,3,33.3936,120.1339
43,13930,121,4,4,0,24,0,0,0,121,4,0.7675,24.4414
33,13935,69,2,2,0,48,0,0,0,69,2,42.9044,129.5067
166,13936,47,0,1,0,34,0,3,0,47,0,42.8901,-97.3927
58,13591,69,2,1,0,34,0,4,0,69,2,50.9667,7.8667
15,13679,64,2,1,0,32,0,6,0,64,2,51.0,3.8833
29,13703,20,0,1,0,20,0,1,0,10,0,60.7029,-135.0691
73,13718,38,0,1,0,30,0,3,0,38,0,52.9779,-6.033
152,13730,59,2,1,0,27,0,3,0,59,2,47.4667,9.05
58,13733,67,2,1,0,30,0,5,0,67,2,52.9,8.4333
166,13742,75,2,2,0,13,0,16,0,75,2,41.2399,-77.037
166,4077,60,2,2,0,18,0,21,0,60,2,42.4239,-88.1844
44,4113,36,0,1,0,36,0,0,0,25,0,55.8333,12.0666
166,4137,41,0,1,0,30,0,8,0,41,0,38.7601,-76.9642
58,4166,44,0,1,0,28,0,2,0,44,0,51.3484,9.5256
77,4173,29,0,1,0,26,0,1,0,29,0,43.342,142.3832
33,4182,168,3,3,0,168,2,5,0,99,2,27.9814,116.3577
164,4206,25,0,1,0,25,0,3,0,23,0,55.6194,-2.8033
58,4230,41,0,1,0,26,0,4,0,41,0,50.9831,6.0
58,4247,36,0,0,0,33,0,1,0,36,0,52.4183,9.5981
28,4267,59,2,2,0,12,0,0,0,59,2,9.3,13.4
109,4298,35,0,0,0,33,0,2,0,35,0,51.7,4.8586
8,4333,29,0,0,0,29,0,0,0,13,0,-28.7744,114.6089
58,4339,51,2,1,0,29,0,3,0,51,2,49.2167,8.3667
34,4373,103,4,4,0,9,0,6,0,103,4,4.305,-74.8017
164,4440,35,0,1,0,30,0,4,0,35,0,53.4758,-2.5943
124,4456,27,0,0,0,27,0,2,0,21,0,41.15,-8.5333
69,4498,307,1,1,0,45,0,0,0,307,1,24.3785,81.2964
166,5088,61,2,2,0,26,0,16,0,61,2,42.064,-88.1468
166,5110,42,0,1,0,42,0,2,0,37,0,35.6526,-78.8399
58,5118,42,0,0,0,32,0,1,0,42,0,51.8297,9.4483
52,5241,102,4,1,0,23,0,0,0,102,4,8.15,39.35
75,5289,64,2,1,0,53,1,1,0,64,2,39.3167,8.5333
77,5301,45,0,1,0,45,0,0,0,38,0,33.65,130.6833
77,12151,69,2,1,0,69,1,1,0,60,2,37.4363,137.2605
67,12193,50,0,1,0,41,0,1,0,50,0,46.255,20.145
71,12218,125,4,2,0,125,3,1,0,82,2,34.6919,50.0131
122,12221,41,0,1,0,25,0,1,0,41,0,14.1,120.9333
77,12241,52,2,1,0,34,0,3,0,52,2,35.3328,137.1316
77,12244,47,0,1,0,47,0,1,0,44,0,36.7192,140.7167
77,12246,36,0,1,0,36,0,3,0,34,0,34.7914,133.6164
122,12266,37,0,1,0,19,0,0,0,37,0,8.4488,125.7869
130,12274,46,0,1,0,27,0,1,0,46,0,56.7333,37.5333
166,12299,64,2,1,0,18,0,12,0,64,2,25.7556,-80.4016
74,12304,92,2,2,0,52,1,8,0,92,2,32.8536,35.1978
122,12319,35,0,1,0,20,0,0,0,35,0,6.6167,124.75
70,12352,88,2,2,0,53,1,1,0,88,2,-7.215,107.8856
159,12370,45,0,0,0,45,0,0,0,43,0,38.5022,42.2814
164,13979,58,2,1,0,24,0,7,0,58,2,50.9452,-2.637
33,14029,143,4,2,0,35,0,5,0,143,4,38.7299,112.7134
33,14044,187,3,2,0,36,0,8,0,187,3,35.0304,110.998
15,14104,58,2,1,0,29,0,6,0,58,2,50.8833,4.4667
15,14124,65,2,1,0,27,0,8,0,65,2,50.9722,4.4222
33,14144,73,2,2,0,66,1,0,0,73,2,37.7527,114.7775
33,14155,98,2,3,0,33,0,9,0,98,2,22.5333,113.35
33,14163,156,3,4,0,45,0,10,0,156,3,29.7169,120.2314
100,14179,163,3,4,0,8,0,18,0,163,3,19.2833,-99.7333
130,14186,35,0,1,0,35,0,0,0,21,0,51.1667,82.2
75,22,69,2,1,0,37,0,4,0,69,2,45.4,8.9167
42,32,105,4,4,0,15,0,4,0,105,4,5.3167,-4.0333
166,76,64,2,2,0,37,0,8,0,64,2,34.0566,-84.6716
166,87,54,2,1,0,32,0,5,0,54,2,39.0017,-76.9649
166,177,80,2,1,0,18,0,10,0,80,2,33.2198,-86.8225
130,179,50,0,1,0,36,0,1,0,50,0,43.0333,44.2333
15,269,35,0,1,0,25,0,3,0,35,0,50.8761,5.3078
29,285,55,2,1,0,27,0,0,0,55,2,48.55,-71.65
119,301,28,0,0,0,28,0,0,0,13,0,-10.3167,150.4333
92,371,26,0,0,0,26,0,0,0,20,0,-25.1764,46.0833
33,472,107,4,2,0,107,3,5,0,86,2,36.3619,119.1072
92,482,22,0,0,0,22,0,0,0,20,0,-14.8833,50.25
166,489,76,2,3,0,7,0,25,0,76,2,37.9787,-121.796
59,507,104,4,2,0,14,0,1,0,104,4,5.2789,-0.7397
130,603,28,0,1,0,28,0,1,0,15,0,51.9333,43.5
130,634,28,0,1,0,28,0,1,0,19,0,56.1,49.8833
6,684,39,0,1,0,29,0,1,0,39,0,40.2975,44.3617
61,715,104,4,3,0,5,0,10,0,104,4,14.175,-89.7417
75,729,57,2,1,0,40,0,3,0,57,2,42.5833,13.9833
164,797,29,0,1,0,29,0,2,0,20,0,55.458,-4.629
109,812,34,0,0,0,34,0,1,0,26,0,52.2167,5.2833
58,845,32,0,0,0,30,0,1,0,32,0,51.1081,10.6467
116,907,500,1,1,0,38,0,1,0,466,1,29.9928,73.2536
155,972,52,2,0,0,28,0,0,0,52,2,16.073,102.7362
122,1001,27,0,0,0,23,0,0,0,27,0,17.5965,120.6179
58,1047,38,0,0,0,28,0,2,0,38,0,53.7167,10.2667
166,1090,56,2,1,0,23,0,6,0,56,2,36.7365,-95.9456
116,1112,117,4,1,0,117,3,1,0,78,2,34.62,71.97
94,1134,92,2,2,0,57,1,1,0,92,2,4.4667,101.05
75,2306,124,4,2,0,32,0,7,0,124,4,45.2981,10.475
75,2351,68,2,2,0,68,1,6,0,57,2,38.9,16.6
122,2353,68,2,1,0,26,0,0,0,68,2,11.7833,124.8833
46,2374,39,0,1,0,4,0,2,0,39,0,0.0439,-78.1561
